City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,victoria,22.2855,114.1577,14.46,68,50,5.36,HK,1670270818
1,hermanus,-34.4187,19.2345,14.33,64,100,1.42,ZA,1670270813
2,guerrero negro,27.9769,-114.0611,20.14,63,9,6.74,MX,1670270982
3,vitim,59.4511,112.5578,-12.18,94,100,5.78,RU,1670271381
4,requena,39.4883,-1.1004,9.33,95,100,1.49,ES,1670271381
5,shache,38.4167,77.2406,-5.73,40,0,1.16,CN,1670270961
6,kapaa,22.0752,-159.319,25.61,84,75,1.54,US,1670270720
7,tasiilaq,65.6145,-37.6368,-2.91,62,43,3.09,GL,1670270963
8,puerto ayora,-0.7393,-90.3518,24.98,87,64,2.68,EC,1670270867
9,mataura,-46.1927,168.8643,10.27,99,100,1.16,NZ,1670270824
10,rikitea,-23.1203,-134.9692,24.15,81,99,6.37,PF,1670270814
11,albany,42.6001,-73.9662,6.88,46,100,3.13,US,1670270839
12,east london,-33.0153,27.9116,16.34,83,4,4.34,ZA,1670270912
13,yellowknife,62.456,-114.3525,-30.25,67,83,4.47,CA,1670270842
14,port alfred,-33.5906,26.891,15.1,93,0,0.89,ZA,1670270818
15,shimoda,34.6667,138.95,7.84,90,100,6.1,JP,1670270827
16,rocha,-34.4833,-54.3333,27.36,38,0,5.22,UY,1670271384
17,south lake tahoe,38.9332,-119.9844,3.16,91,75,3.09,US,1670271385
18,namatanai,-3.6667,152.4333,26.13,81,100,0.95,PG,1670271042
19,hilo,19.7297,-155.09,27.93,79,54,2.68,US,1670270637
20,atuona,-9.8,-139.0333,25.25,75,92,7.37,PF,1670270803
21,klaksvik,62.2266,-6.589,4.51,66,95,11.94,FO,1670270844
22,la sarre,48.8002,-79.1996,-3.97,93,100,0.71,CA,1670271386
23,bauchi,10.5,10.0,20.51,20,4,1.58,NG,1670271387
24,henties bay,-22.116,14.2845,14.88,86,0,4.49,NA,1670270938
25,lagoa,39.05,-27.9833,16.32,67,100,3.33,PT,1670270904
26,saint-pierre,-21.3393,55.4781,24.82,65,0,4.63,RE,1670271243
27,kodiak,57.79,-152.4072,3.73,93,100,4.63,US,1670270919
28,lebu,-37.6167,-73.65,17.42,68,2,2.96,CL,1670270868
29,tahta,26.7693,31.5021,17.24,50,0,5.07,EG,1670271388
30,saint george,37.1041,-113.5841,13.02,59,40,1.54,US,1670270830
31,faya,18.3851,42.4509,12.29,82,3,1.5,SA,1670270822
32,torbay,47.6666,-52.7314,4.59,95,100,0.45,CA,1670270749
33,butaritari,3.0707,172.7902,27.14,80,100,6.97,KI,1670270821
34,januaria,-15.4833,-44.3667,23.52,90,100,2.84,BR,1670271350
35,jamestown,42.097,-79.2353,7.8,31,0,4.63,US,1670270825
36,kununurra,-15.7667,128.7333,26.99,89,56,1.03,AU,1670270932
37,severo-kurilsk,50.6789,156.125,-4.81,71,100,11.5,RU,1670270861
38,roma,43.2128,-75.4557,7.75,33,0,2.06,US,1670271391
39,busselton,-33.65,115.3333,13.63,76,1,5.76,AU,1670270649
40,paracatu,-17.2222,-46.8747,24.61,77,100,2.19,BR,1670271391
41,geraldton,-28.7667,114.6,21.23,78,100,6.69,AU,1670270719
42,makubetsu,45.3714,141.8211,-1.43,61,98,10.6,JP,1670271392
43,rabo de peixe,37.8,-25.5833,16.73,100,20,6.17,PT,1670271393
44,monrovia,6.3005,-10.7969,26.04,83,100,1.89,LR,1670271349
45,nikolskoye,59.7035,30.7861,-5.05,94,100,2.83,RU,1670270916
46,gorom-gorom,14.4439,-0.2361,30.33,17,100,4.35,BF,1670271394
47,tezu,27.9167,96.1667,16.18,37,1,1.96,IN,1670271394
48,airai,-8.9266,125.4092,14.87,71,86,0.65,TL,1670270869
49,khatanga,71.9667,102.5,-33.15,100,14,1.88,RU,1670270906
50,hovd,48.0056,91.6419,-16.73,81,6,1.38,MN,1670271030
51,lima,-12.0432,-77.0282,20.14,64,75,5.14,PE,1670270981
52,pacific grove,36.6177,-121.9166,14.9,81,0,6.26,US,1670270872
53,los llanos de aridane,28.6585,-17.9182,17.86,88,40,3.09,ES,1670270952
54,vaini,-21.2,-175.2,27.09,83,75,4.12,TO,1670270820
55,camrose,53.0168,-112.8353,-13.37,72,100,1.7,CA,1670271396
56,ushuaia,-54.8,-68.3,9.79,49,40,10.29,AR,1670270805
57,lilongwe,-13.9669,33.7873,22.85,67,69,0.76,MW,1670271397
58,souillac,-20.5167,57.5167,25.21,78,40,4.63,MU,1670270872
59,talnakh,69.4865,88.3972,-4.71,96,100,5.9,RU,1670270849
60,necochea,-38.5473,-58.7368,34.32,27,4,5.92,AR,1670271013
61,sao jose da coroa grande,-8.8978,-35.1478,25.55,83,43,5.4,BR,1670271398
62,ribeira grande,38.5167,-28.7,17.22,72,40,8.75,PT,1670270796
63,hvolsvollur,63.7533,-20.2243,0.21,63,1,1.8,IS,1670271399
64,arraial do cabo,-22.9661,-42.0278,24.92,73,40,5.66,BR,1670270768
65,tura,25.5198,90.2201,15.89,85,0,1.38,IN,1670270825
66,georgetown,5.4112,100.3354,27.35,85,20,0.0,MY,1670270886
67,tucuman,-26.8241,-65.2226,38.0,20,20,6.17,AR,1670271400
68,chicama,-7.8447,-79.1469,21.3,59,7,4.76,PE,1670271401
69,bluff,-46.6,168.3333,10.45,78,87,3.39,NZ,1670270834
70,dve mogili,43.6,25.8667,5.38,87,100,1.64,BG,1670271401
71,sirawai,7.5854,122.1407,25.68,89,77,1.65,PH,1670271402
72,port elizabeth,-33.918,25.5701,16.29,93,3,1.34,ZA,1670270605
73,udachnyy,66.4167,112.4,-23.64,76,100,5.65,RU,1670271403
74,provideniya,64.3833,-173.3,1.06,75,100,13.0,RU,1670270914
75,nemuro,43.3236,145.575,-1.96,56,0,5.89,JP,1670270993
76,cabo san lucas,22.8909,-109.9124,29.78,61,20,4.12,MX,1670270601
77,port hedland,-20.3167,118.5667,26.03,73,84,5.14,AU,1670271040
78,san patricio,28.017,-97.5169,27.26,57,65,6.67,US,1670271057
79,cascais,38.6979,-9.4215,15.84,95,20,2.24,PT,1670270811
80,inhambane,-23.865,35.3833,25.62,88,100,5.88,MZ,1670271404
81,cherskiy,68.75,161.3,-26.78,89,100,2.54,RU,1670270862
82,tommot,58.9564,126.2925,-21.75,94,100,3.41,RU,1670271014
83,barrow,71.2906,-156.7887,-0.99,86,100,10.29,US,1670270914
84,chiredzi,-21.05,31.6667,28.11,39,4,4.74,ZW,1670271405
85,matara,5.9485,80.5353,24.08,88,100,0.87,LK,1670270829
86,soyo,-6.1349,12.3689,26.01,87,100,3.55,AO,1670270920
87,bengkulu,-3.8004,102.2655,23.36,91,100,1.36,ID,1670270843
88,acarau,-2.8856,-40.12,27.79,71,7,9.19,BR,1670271406
89,mogadishu,2.0371,45.3438,27.01,77,20,7.31,SO,1670271407
90,longyearbyen,78.2186,15.6401,-13.09,66,40,11.83,SJ,1670270876
91,saskylakh,71.9167,114.0833,-25.57,93,100,7.67,RU,1670270830
92,batticaloa,7.7102,81.6924,24.79,86,96,3.26,LK,1670271408
93,mar del plata,-38.0023,-57.5575,33.79,82,0,9.39,AR,1670270834
94,khuzhir,53.1939,107.3397,-6.97,71,100,11.17,RU,1670271409
95,petropavlovsk-kamchatskiy,53.0452,158.6483,-17.67,66,20,3.0,RU,1670271133
96,sao joao da barra,-21.6403,-41.0511,26.05,82,77,8.85,BR,1670271037
97,esperance,-33.8667,121.9,15.66,83,100,1.63,AU,1670270876
98,tiksi,71.6872,128.8694,-25.32,97,100,5.06,RU,1670270863
99,qaanaaq,77.484,-69.3632,-0.4,85,100,6.1,GL,1670270921
100,mahebourg,-20.4081,57.7,25.16,78,40,4.63,MU,1670270929
101,laguna,38.421,-121.4238,15.16,73,75,4.63,US,1670270833
102,new norfolk,-42.7826,147.0587,12.18,69,85,0.89,AU,1670270938
103,dikson,73.5069,80.5464,-4.26,96,100,6.37,RU,1670270839
104,ostrovnoy,68.0531,39.5131,-7.17,90,43,9.79,RU,1670270880
105,miri,4.4148,114.0089,25.65,94,40,1.54,MY,1670271411
106,teahupoo,-17.8333,-149.2667,25.98,80,70,7.34,PF,1670271296
107,kissidougou,9.1848,-10.0999,23.58,77,100,1.63,GN,1670271157
108,fortuna,40.5982,-124.1573,12.18,84,100,3.6,US,1670270911
109,provins,48.5833,3.1667,2.2,85,100,1.34,FR,1670271412
110,santa isabel do rio negro,-0.4139,-65.0192,28.62,71,98,0.91,BR,1670271413
111,praia da vitoria,38.7333,-27.0667,15.98,91,91,4.21,PT,1670270959
112,harindanga,22.0383,88.3214,18.5,40,3,3.59,IN,1670270947
113,amapa,1.0,-52.0,24.31,86,100,0.72,BR,1670270820
114,roura,4.7263,-52.3274,27.95,74,58,4.12,GF,1670271414
115,hobart,-42.8794,147.3294,12.37,68,75,5.66,AU,1670271304
116,road town,18.4167,-64.6167,27.05,74,40,5.14,VG,1670270890
117,kahului,20.8947,-156.47,27.01,64,0,4.12,US,1670270702
118,kaitangata,-46.2817,169.8464,8.02,94,100,3.15,NZ,1670270834
119,smithers,54.7804,-127.1743,-8.35,88,58,0.75,CA,1670270983
120,punta arenas,-53.15,-70.9167,10.06,43,75,9.26,CL,1670271290
121,hay river,60.8156,-115.7999,-27.79,96,100,4.74,CA,1670270922
122,jumla,29.2747,82.1838,3.6,25,0,2.44,NP,1670271064
123,ponta do sol,32.6667,-17.1,19.28,75,99,2.02,PT,1670270942
124,mount isa,-20.7333,139.5,17.87,59,0,0.51,AU,1670270897
125,timmins,48.4669,-81.3331,-2.79,84,100,0.99,CA,1670271163
126,walvis bay,-22.9575,14.5053,15.61,74,0,7.69,NA,1670270953
127,kavieng,-2.5744,150.7967,26.88,79,99,2.2,PG,1670270865
128,mudgee,-32.5943,149.5871,15.44,77,16,1.22,AU,1670271417
129,kollam,8.8833,76.6,25.48,78,100,2.69,IN,1670271418
130,wanxian,30.8039,108.3897,8.47,77,99,1.22,CN,1670271418
131,vila velha,-20.3297,-40.2925,25.97,80,20,6.17,BR,1670270819
132,ilulissat,69.2167,-51.1,4.01,48,75,2.57,GL,1670270981
133,xai-xai,-25.0519,33.6442,23.07,90,100,8.66,MZ,1670271419
134,shelburne,44.0787,-80.2041,3.96,53,100,6.69,CA,1670271152
135,sesheke,-17.4759,24.2968,27.36,34,86,2.74,ZM,1670271420
136,laguna de perlas,12.3429,-83.6712,24.05,72,9,5.4,NI,1670271420
137,port hardy,50.6996,-127.4199,1.1,100,100,2.06,CA,1670271011
138,santa rosa,14.3122,121.1114,26.17,92,99,3.05,PH,1670271049
139,sur,22.5667,59.5289,23.06,62,0,1.24,OM,1670271031
140,isangel,-19.55,169.2667,27.83,74,44,1.63,VU,1670271026
141,cape town,-33.9258,18.4232,17.97,64,85,3.13,ZA,1670270878
142,kavaratti,10.5669,72.642,27.72,73,31,1.39,IN,1670270898
143,vardo,70.3705,31.1107,-3.01,80,100,5.66,NO,1670271422
144,dombarovskiy,50.7587,59.5386,-14.27,95,95,3.51,RU,1670271423
145,sitka,57.0531,-135.33,4.94,75,100,3.09,US,1670270997
146,qui nhon,13.7667,109.2333,25.06,88,100,8.97,VN,1670271423
147,chokurdakh,70.6333,147.9167,-36.98,98,47,3.69,RU,1670270891
148,ha giang,22.8333,104.9833,15.21,90,91,0.26,VN,1670271424
149,tuburan,6.6439,122.2736,27.28,78,100,1.13,PH,1670271425
150,vostok,46.4856,135.8833,-21.77,98,49,2.63,RU,1670271041
151,carnarvon,-24.8667,113.6333,20.55,77,58,7.46,AU,1670270828
152,bud,39.447,-86.1758,7.64,64,100,2.96,US,1670271426
153,burdur,37.7203,30.2908,3.39,93,0,1.54,TR,1670271426
154,castro,-24.7911,-50.0119,23.54,78,58,2.86,BR,1670271427
155,snasa,64.2457,12.3778,2.67,97,98,3.64,NO,1670271427
156,royan,45.6285,-1.0281,3.79,82,28,4.86,FR,1670271383
157,dingle,10.9995,122.6711,23.33,93,45,3.35,PH,1670270889
158,taoudenni,22.6783,-3.9836,27.93,15,29,0.85,ML,1670270869
159,puerto escondido,15.85,-97.0667,30.46,54,0,3.09,MX,1670270929
160,yeppoon,-23.1333,150.7333,20.88,82,0,1.6,AU,1670271429
161,thompson,55.7435,-97.8558,-24.25,86,50,3.44,CA,1670270727
162,olafsvik,64.8945,-23.7142,4.25,78,21,2.26,IS,1670270960
163,auki,-8.7676,160.7034,25.61,84,97,1.75,SB,1670271087
164,la baneza,42.3003,-5.8977,6.89,92,100,2.06,ES,1670271430
165,fairfield,41.2668,-73.3162,8.43,47,0,4.12,US,1670271378
166,duiwelskloof,-23.6934,30.14,20.09,84,100,2.34,ZA,1670271431
167,anadyr,64.75,177.4833,-2.72,92,100,18.0,RU,1670271025
168,cidreira,-30.1811,-50.2056,23.03,84,95,4.79,BR,1670271432
169,lac-megantic,45.5834,-70.8823,3.09,56,57,3.37,CA,1670271432
170,cauquenes,-35.9671,-72.3225,28.36,17,0,7.75,CL,1670271433
171,san cristobal,7.7669,-72.225,23.68,72,68,1.65,VE,1670270954
172,kamogawa,35.1,140.1,6.19,93,100,7.04,JP,1670271434
173,tanete,-3.9443,119.7848,23.08,95,100,0.91,ID,1670271434
174,los andes,-32.8337,-70.5983,31.12,23,4,4.99,CL,1670271435
175,kysyl-syr,63.8986,122.7617,-25.26,98,100,1.85,RU,1670270860
176,paris,48.8534,2.3488,3.76,91,100,2.06,FR,1670270823
177,moron,-34.6534,-58.6198,36.64,44,0,4.6,AR,1670271210
178,gao,16.6362,1.637,28.16,17,92,4.62,ML,1670271436
179,hithadhoo,-0.6,73.0833,27.43,76,100,3.56,MV,1670270826
180,jaguaruna,-28.615,-49.0256,23.01,95,99,3.83,BR,1670271347
181,avarua,-21.2078,-159.775,23.03,94,20,2.57,CK,1670270857
182,evensk,61.95,159.2333,-14.48,92,100,3.34,RU,1670271139
183,bethel,41.3712,-73.414,8.34,43,0,4.12,US,1670270847
184,comodoro rivadavia,-45.8667,-67.5,23.92,29,0,11.83,AR,1670270862
185,stefanesti,44.8667,24.9333,4.15,96,100,1.51,RO,1670271437
186,kyshtovka,56.555,76.6271,-22.2,100,92,1.45,RU,1670271438
187,storm lake,42.6411,-95.2097,0.12,64,40,7.72,US,1670271439
188,cutro,39.0353,16.9819,11.47,82,60,1.85,IT,1670271439
189,saldanha,-33.0117,17.9442,16.56,76,99,6.35,ZA,1670270890
190,rach gia,10.0167,105.0833,24.43,93,100,4.08,VN,1670271440
191,chaupal,30.95,77.5833,3.07,46,47,1.84,IN,1670271440
192,camargo,27.6667,-105.1667,27.86,23,71,4.36,MX,1670271441
193,norrtalje,59.758,18.705,1.12,83,72,1.99,SE,1670271442
194,grootfontein,-19.5667,18.1167,25.73,26,6,4.2,NA,1670271442
195,chatham,51.3789,0.5279,7.67,72,97,2.24,GB,1670271443
196,axim,4.8699,-2.2405,26.44,84,50,3.45,GH,1670271002
197,lazaro cardenas,17.9583,-102.2,28.85,66,0,3.68,MX,1670271208
198,mantua,45.1667,10.7833,9.97,91,94,2.24,IT,1670271444
199,moindou,-21.6924,165.677,25.27,87,100,1.96,NC,1670271444
200,clyde river,70.4692,-68.5914,-10.87,100,100,1.03,CA,1670270864
201,leningradskiy,69.3833,178.4167,-26.15,91,4,1.67,RU,1670270862
202,dharchula,29.85,80.5333,10.55,20,0,3.74,IN,1670271445
203,nishihara,26.1842,127.7558,18.6,91,100,11.83,JP,1670271043
204,caravelas,-17.7125,-39.2481,24.56,77,100,3.62,BR,1670271446
205,innisfail,-17.5333,146.0333,21.34,75,0,1.95,AU,1670271341
206,tabuk,17.4189,121.4443,22.57,94,100,1.74,PH,1670271447
207,great falls,47.5002,-111.3008,-4.21,88,0,0.0,US,1670271447
208,bredasdorp,-34.5322,20.0403,15.44,66,100,0.52,ZA,1670271448
209,alwar,27.5667,76.6,14.37,35,0,1.72,IN,1670271449
210,diego de almagro,-26.3667,-70.05,27.55,21,0,6.15,CL,1670271449
211,kinsale,51.7075,-8.5306,5.65,93,75,8.23,IE,1670271450
212,cayenne,4.9333,-52.3333,28.02,74,80,4.12,GF,1670271205
213,copiapo,-27.3667,-70.3333,17.83,34,0,4.52,CL,1670271130
214,bowen,-20.0167,148.2333,24.53,69,0,1.48,AU,1670270932
215,coahuayana,18.7333,-103.6833,31.18,57,0,3.05,MX,1670271175
216,ust-kut,56.7938,105.7672,-12.05,91,100,6.05,RU,1670271451
217,blackfoot,43.1905,-112.345,3.27,87,11,3.73,US,1670271411
218,mitsamiouli,-11.3847,43.2844,26.65,79,13,4.73,KM,1670271452
219,tuktoyaktuk,69.4541,-133.0374,-26.29,78,100,10.08,CA,1670270867
220,pisco,-13.7,-76.2167,21.12,78,20,4.63,PE,1670270876
221,hervey bay,-25.2986,152.8535,21.84,83,1,4.69,AU,1670271453
222,scottsbluff,41.8666,-103.6672,5.62,52,0,4.12,US,1670271454
223,alofi,-19.0595,-169.9187,26.94,89,75,4.12,NU,1670270893
224,basavakalyan,17.8667,76.95,18.25,53,32,3.48,IN,1670271455
225,manono,-7.3,27.4167,19.21,98,100,1.24,CD,1670271455
226,sovetskiy,61.3614,63.5842,-17.2,100,97,1.96,RU,1670271456
227,port lincoln,-34.7333,135.8667,15.02,70,100,5.99,AU,1670270909
228,khandyga,62.6667,135.6,-28.84,99,100,0.65,RU,1670271457
229,tonekabon,36.8163,50.8738,7.97,79,96,1.05,IR,1670271457
230,craig,40.5153,-107.5464,-0.21,93,100,2.06,US,1670271342
231,saint anthony,45.0205,-93.218,-0.61,62,100,5.66,US,1670270851
232,norman wells,65.282,-126.8329,-29.98,76,75,6.17,CA,1670271458
233,fairbanks,64.8378,-147.7164,-9.67,88,75,0.0,US,1670270700
234,lac-au-saumon,48.421,-67.3476,0.58,72,96,6.27,CA,1670271459
235,xining,36.6167,101.7667,-4.1,51,100,1.16,CN,1670270832
236,grand gaube,-20.0064,57.6608,25.22,78,16,4.02,MU,1670271110
237,swellendam,-34.0226,20.4417,16.09,63,100,2.51,ZA,1670271460
238,sibot,45.95,23.3333,5.97,85,98,0.76,RO,1670271461
239,ucluelet,48.9329,-125.5528,4.49,90,100,1.31,CA,1670271461
240,acari,-15.4311,-74.6158,25.11,57,3,4.62,PE,1670271462
241,praia,14.9215,-23.5087,23.3,64,75,4.63,CV,1670270934
242,zemetchino,53.4973,42.6163,-12.14,89,19,1.53,RU,1670271462
243,sarkand,45.41,79.9186,-8.12,95,100,0.25,KZ,1670271032
244,saint-philippe,-21.3585,55.7679,23.77,78,100,5.2,RE,1670271463
245,maumere,-8.6199,122.2111,26.02,80,100,1.68,ID,1670271464
246,sorland,67.667,12.6934,3.92,86,100,18.8,NO,1670271464
247,moa,20.6569,-74.9403,26.13,65,26,6.24,CU,1670271465
248,lisala,2.15,21.5167,20.78,97,100,3.99,CD,1670271465
249,abnub,27.2696,31.1511,16.59,53,0,4.04,EG,1670271466
250,chimbote,-9.0853,-78.5783,21.52,71,10,4.46,PE,1670271045
251,peniche,39.3558,-9.3811,14.05,95,88,2.33,PT,1670271466
252,nalut,30.3333,10.85,18.65,25,31,4.6,LY,1670271068
253,ahipara,-35.1667,173.1667,17.97,76,100,2.44,NZ,1670270934
254,grindavik,63.8424,-22.4338,-1.74,100,20,2.06,IS,1670270938
255,senador jose porfirio,-2.5908,-51.9542,28.12,64,85,1.62,BR,1670271467
256,lavrentiya,65.5833,-171.0,-2.68,90,100,5.39,RU,1670271202
257,jinchang,38.4953,102.1739,-4.16,54,100,1.4,CN,1670271468
258,cartagena,10.3997,-75.5144,28.79,74,40,3.6,CO,1670271265
259,fujin,47.26,132.0322,-14.35,79,9,4.48,CN,1670271469
260,souris,49.6172,-100.2612,-16.26,74,88,4.63,CA,1670271469
261,lakes entrance,-37.8811,147.981,12.87,84,100,4.75,AU,1670271470
262,hasaki,35.7333,140.8333,5.12,85,100,11.43,JP,1670271025
263,nehe,48.4833,124.8333,-19.1,89,60,3.84,CN,1670271471
264,kodinsk,58.6881,99.1844,-12.95,90,100,6.28,RU,1670270903
265,dinard,48.6314,-2.0614,3.68,92,75,1.03,FR,1670271472
266,warmbad,-28.45,18.7333,17.86,42,16,8.61,NA,1670271472
267,mount gambier,-37.8333,140.7667,9.01,81,21,1.72,AU,1670270896
268,hastings,50.8552,0.5729,7.21,93,100,5.58,GB,1670271473
269,umm kaddadah,13.6017,26.6876,19.13,21,68,5.41,SD,1670270885
270,te anau,-45.4167,167.7167,9.2,98,100,1.42,NZ,1670271031
271,floro,61.5996,5.0328,3.87,100,75,1.03,NO,1670271473
272,nekrasovskoye,57.6766,40.3657,-10.06,73,0,3.0,RU,1670271474
273,hofn,64.2539,-15.2082,2.55,62,27,3.3,IS,1670270901
274,ulkan,57.243,107.3223,-11.64,89,100,6.32,RU,1670271475
275,krasnyy chikoy,50.3643,108.7512,-15.58,83,100,3.57,RU,1670271475
276,hambantota,6.1241,81.1185,25.05,82,100,1.8,LK,1670271476
277,zhongshu,24.5167,103.7667,7.68,90,100,1.38,CN,1670271476
278,bubaque,11.2833,-15.8333,27.29,69,67,4.2,GW,1670271080
279,mani,4.8172,-72.2886,28.23,66,97,2.34,CO,1670271477
280,kerema,-7.9631,145.7785,24.66,83,90,1.56,PG,1670271477
281,tocopilla,-22.092,-70.1979,21.51,63,22,3.48,CL,1670270906
282,narsaq,60.9167,-46.05,7.12,72,72,4.95,GL,1670270945
283,chapais,49.7834,-74.8492,-4.12,89,100,4.81,CA,1670271478
284,saucillo,28.0167,-105.2833,27.89,24,91,4.86,MX,1670271479
285,krasyukovskaya,47.5522,40.1088,-4.6,58,0,7.0,RU,1670271479
286,istok,42.7808,20.4875,7.43,90,99,0.56,XK,1670271018
